WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.2,1,100,100,5,2,19.75,12.5,7.17,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.2,1,100,200,5,2,19.23,11.63,7.39,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.4,1,100,0,0,2,35.78,27.7,8.02,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.4,1,100,50,5,2,31.89,24.61,7.22,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.4,1,100,100,5,2,34.26,26.7,7.45,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.4,1,100,200,5,2,31.96,24.59,7.14,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.6,1,100,0,0,2,55.72,48.24,7.4,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.6,1,100,50,5,2,55.63,48.12,7.41,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.6,1,100,100,5,2,55.73,48.37,7.23,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.6,1,100,200,5,2,55.51,48.04,7.22,,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.8,1,100,0,0,3,107.34,92.98,7.2,7.04,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.8,1,100,50,5,3,112.26,97.89,7.23,7.02,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.8,1,100,100,5,3,111.76,97.08,7.42,7.11,,,,
INCIDENT_EDGES_THE_SAME,104,500,0.8,1,100,200,5,2,102.07,94.5,7.28,,,,,
INCIDENT_EDGES_THE_SAME,104,500,1,1,100,0,0,3,184.53,169.02,7.73,7.63,,,,
INCIDENT_EDGES_THE_SAME,104,500,1,1,100,50,5,3,184.02,168.96,7.58,7.31,,,,
INCIDENT_EDGES_THE_SAME,104,500,1,1,100,100,5,3,175.83,161.27,7.25,7.11,,,,
INCIDENT_EDGES_THE_SAME,104,500,1,1,100,200,5,2,177.03,169.13,7.57,,,,,
RANDOM,105,500,0.2,1,100,0,0,2,19.41,12.03,7.34,,,,,
RANDOM,105,500,0.2,1,100,50,5,2,19.33,11.84,7.46,,,,,
RANDOM,105,500,0.2,1,100,100,5,2,18.63,11.49,7.08,,,,,
RANDOM,105,500,0.2,1,100,200,5,2,20.02,12.26,7.58,,,,,
RANDOM,105,500,0.4,1,100,0,0,2,31.48,24.1,7.31,,,,,
RANDOM,105,500,0.4,1,100,50,5,2,31.82,24.72,7.03,,,,,
RANDOM,105,500,0.4,1,100,100,5,2,31.29,24.03,7.18,,,,,
RANDOM,105,500,0.4,1,100,200,5,2,31.64,24.26,7.21,,,,,
RANDOM,105,500,0.6,1,100,0,0,2,57.12,49.51,7.51,,,,,
RANDOM,105,500,0.6,1,100,50,5,2,58.18,50.39,7.69,,,,,
RANDOM,105,500,0.6,1,100,100,5,2,54.94,47.53,7.3,,,,,
RANDOM,105,500,0.6,1,100,200,5,2,57.3,49.83,7.28,,,,,
RANDOM,105,500,0.8,1,100,0,0,3,106.31,91.28,7.47,7.43,,,,
RANDOM,105,500,0.8,1,100,50,5,3,105.58,90.84,7.4,7.21,,,,
RANDOM,105,500,0.8,1,100,100,5,3,108.26,93.85,7.28,7,,,,
RANDOM,105,500,0.8,1,100,200,5,2,98.03,90.69,7.16,,,,,
RANDOM,105,500,1,1,100,0,0,3,178.95,164.36,7.27,7.15,,,,
RANDOM,105,500,1,1,100,50,5,3,179.23,163.78,7.77,7.49,,,,
RANDOM,105,500,1,1,100,100,5,3,180.22,165.75,7.27,7.03,,,,
RANDOM,105,500,1,1,100,200,5,2,175.94,167.93,7.8,,,,,
ALL_THE_SAME,105,500,0.2,1,100,0,0,2,19.74,12.53,7.16,,,,,
ALL_THE_SAME,105,500,0.2,1,100,50,5,2,19.75,12.24,7.47,,,,,
ALL_THE_SAME,105,500,0.2,1,100,100,5,2,19.9,12.45,7.4,,,,,
ALL_THE_SAME,105,500,0.2,1,100,200,5,2,19.88,12.06,7.66,,,,,
ALL_THE_SAME,105,500,0.4,1,100,0,0,2,34.39,26.93,7.39,,,,,
ALL_THE_SAME,105,500,0.4,1,100,50,5,2,33.99,26.57,7.36,,,,,
ALL_THE_SAME,105,500,0.4,1,100,100,5,2,33.37,26.28,7.01,,,,,
ALL_THE_SAME,105,500,0.4,1,100,200,5,2,36.3,28.7,7.38,,,,,
ALL_THE_SAME,105,500,0.6,1,100,0,0,2,60.66,53.25,7.31,,,,,
ALL_THE_SAME,105,500,0.6,1,100,50,5,2,64.13,56.3,7.74,,,,,
ALL_THE_SAME,105,500,0.6,1,100,100,5,2,58.67,51.3,7.26,,,,,
ALL_THE_SAME,105,500,0.6,1,100,200,5,2,58.36,50.91,7.26,,,,,
ALL_THE_SAME,105,500,0.8,1,100,0,0,3,114.77,100.23,7.28,7.13,,,,
ALL_THE_SAME,105,500,0.8,1,100,50,5,3,112.62,97.65,7.57,7.26,,,,
ALL_THE_SAME,105,500,0.8,1,100,100,5,3,115.31,100.15,7.67,7.36,,,,
ALL_THE_SAME,105,500,0.8,1,100,200,5,2,107.56,99.69,7.68,,,,,
ALL_THE_SAME,105,500,1,1,100,0,0,3,195.59,180.74,7.45,7.24,,,,
ALL_THE_SAME,105,500,1,1,100,50,5,3,193.79,179.01,7.47,7.15,,,,
ALL_THE_SAME,105,500,1,1,100,100,5,3,193.31,178.06,7.77,7.31,,,,
ALL_THE_SAME,105,500,1,1,100,200,5,2,183.33,175.77,7.35,,,,,
UNIQUE,105,500,0.2,1,100,0,0,2,19.72,12.37,7.32,,,,,
UNIQUE,105,500,0.2,1,100,50,5,2,18.8,11.59,7.17,,,,,
UNIQUE,105,500,0.2,1,100,100,5,2,19.23,11.69,7.47,,,,,
UNIQUE,105,500,0.2,1,100,200,5,2,19.03,11.52,7.33,,,,,
UNIQUE,105,500,0.4,1,100,0,0,2,31.97,24.78,7.13,,,,,
UNIQUE,105,500,0.4,1,100,50,5,2,31.99,24.67,7.25,,,,,
UNIQUE,105,500,0.4,1,100,100,5,2,32.11,24.83,7.19,,,,,
UNIQUE,105,500,0.4,1,100,200,5,2,32.23,25.05,7.02,,,,,
UNIQUE,105,500,0.6,1,100,0,0,2,55.89,48.61,7.2,,,,,
UNIQUE,105,500,0.6,1,100,50,5,2,56.59,49.31,7.18,,,,,
UNIQUE,105,500,0.6,1,100,100,5,2,58.37,50.91,7.35,,,,,
UNIQUE,105,500,0.6,1,100,200,5,2,58.08,50.58,7.29,,,,,
UNIQUE,105,500,0.8,1,100,0,0,3,125.17,108.29,8.25,8.51,,,,
UNIQUE,105,500,0.8,1,100,50,5,3,123.87,108.76,7.63,7.37,,,,
UNIQUE,105,500,0.8,1,100,100,5,3,122.29,107.14,7.84,7.16,,,,
UNIQUE,105,500,0.8,1,100,200,5,2,150.05,141.14,8.7,,,,,
UNIQUE,105,500,1,1,100,0,0,3,238.66,223.33,7.87,7.31,,,,
UNIQUE,105,500,1,1,100,50,5,3,241.85,226.89,7.56,7.24,,,,
UNIQUE,105,500,1,1,100,100,5,3,234.17,219.2,7.42,7.39,,,,
UNIQUE,105,500,1,1,100,200,5,2,234.97,226.79,7.93,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.2,1,100,0,0,2,19.49,11.98,7.48,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.2,1,100,50,5,2,19.68,12.13,7.51,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.2,1,100,100,5,2,20.45,12.86,7.5,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.2,1,100,200,5,2,20.55,12.62,7.71,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.4,1,100,0,0,2,38.33,30.48,7.78,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.4,1,100,50,5,2,38.14,30.04,8.02,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.4,1,100,100,5,2,34.32,26.89,7.31,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.4,1,100,200,5,2,34.01,26.21,7.57,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.6,1,100,0,0,2,67.13,59.16,7.88,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.6,1,100,50,5,2,70.8,62.71,7.98,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.6,1,100,100,5,2,62.76,54.79,7.82,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.6,1,100,200,5,2,63.95,56.06,7.63,,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.8,1,100,0,0,3,131.36,115.81,7.67,7.74,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.8,1,100,50,5,3,121.42,106.78,7.37,7.12,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.8,1,100,100,5,3,118.96,104.22,7.3,7.29,,,,
INCIDENT_EDGES_THE_SAME,105,500,0.8,1,100,200,5,2,114.02,106.44,7.29,,,,,
INCIDENT_EDGES_THE_SAME,105,500,1,1,100,0,0,3,208.75,192.95,7.99,7.66,,,,
INCIDENT_EDGES_THE_SAME,105,500,1,1,100,50,5,3,236.78,220.89,8.18,7.53,,,,
INCIDENT_EDGES_THE_SAME,105,500,1,1,100,100,5,3,208.94,193.79,7.75,7.21,,,,
INCIDENT_EDGES_THE_SAME,105,500,1,1,100,200,5,2,174.59,166.88,7.37,,,,,
